adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,revilla_bong,estrada_jinggoy,defensorsantiago_miriam,drilon_frank,enrile_juanponce_sr,cayetano_pia,marcos_ferdinand_jr,recto_ralph,sotto_tito,osmena_serge,lapid_lito,guingona_teofisto_iii,hontiveros_risa,biazon_rozzano_rufino,devenecia_jose_iii,remulla_gilbert_cesar,lim_danilo,roco_sonia,querubin_ariel,pimentel_gwendolyn,acosta_nereus_jr,lacson_alex,tamano_adel,osmena_emiliomario,maza_liza,ocampo_saturnino,tatad_francisco,lozada_jose_apolinario_jr,mitra_ramon,langit_rey,bello_silvestre_iii,lao_yasmin,papin_imelda,ople_susan,bautista_martin,plaza_rodolfo,bautista_jv,guico_ramon_jr,lambino_raul,villanueva_hector,ocampo_ramoncito,inocencio_ma_katherine,palparan_jovito_jr,tinsay_alexander,alonto_zafrullah,tamayo_reginald,espinosa_nanette,maambong_regalado,david_rizalito,albani_shariff,virgines_israel,paredes_zosimo,sison_adrian,imbong_jo_aurea,princesa_reynaldo,nikabulin_adz,caunan_henry,valdehuesa_manuel_jr,tarrazona_hector,rinoza_plazo_maria_gracia,lood_alma
405633000,405600000,400000000,Perez,Mun,3329,2999,2219,2114,1888,1610,1063,1925,1574,1273,1861,1098,1101,1126,1017,740,680,699,592,632,672,666,252,424,293,324,435,377,241,471,144,192,417,135,183,56,136,54,51,133,80,61,80,65,54,67,80,61,83,29,49,35,63,34,42,30,28,30,38,16,16
405634000,405600000,400000000,Pitogo,Mun,6204,6851,5250,5029,5228,4585,2777,4303,3379,3214,3597,3063,3264,2771,2868,2482,2167,2070,1770,1672,1528,1601,760,999,956,753,934,906,759,828,290,619,688,353,544,121,366,150,145,263,199,204,196,134,98,186,182,103,162,51,94,79,154,72,90,79,62,39,52,24,23
405636000,405600000,400000000,Polillo,Mun,8205,8012,6193,5607,5115,5245,3453,4950,4432,3162,5076,3075,2290,3020,2989,2016,2346,2252,2213,1992,1832,2222,761,1356,1135,1049,1257,904,910,2059,433,536,1301,531,556,231,495,171,247,609,353,321,282,329,190,290,311,195,285,141,225,143,193,154,176,142,87,98,82,67,59
405637000,405600000,400000000,Quezon,Mun,3653,3841,2891,3111,3018,2309,1395,2755,2079,1881,2111,1812,1780,1752,1370,1061,1138,1382,871,1025,980,1190,410,647,438,497,576,531,382,579,231,366,516,213,293,56,203,169,102,189,170,162,108,124,112,95,102,60,96,51,101,84,106,62,92,78,52,27,29,22,18
405638000,405600000,400000000,Real,Mun,8411,8611,6295,5153,5126,5502,4199,4998,4436,3121,5067,3479,2554,3240,2863,2016,2756,1950,2635,1667,1295,1860,717,1174,1304,1145,1436,1065,665,1655,498,417,1089,441,413,182,335,213,228,418,288,289,260,193,157,214,269,121,209,81,126,101,167,106,99,104,75,68,52,36,32
405639000,405600000,400000000,Sampaloc,Mun,4148,3813,3564,3437,2740,2975,2062,3172,2629,1861,2423,2102,2264,1943,1728,1445,1445,1428,1076,924,1206,1061,506,666,952,875,539,495,458,665,371,370,332,305,341,61,170,695,208,138,120,154,129,101,41,101,86,56,136,42,63,37,82,45,58,35,34,27,22,22,19
405640000,405600000,400000000,San Andres,Mun,5254,4616,2671,2102,2285,1959,1629,2304,1855,1523,3231,1303,990,1222,1225,868,736,792,652,998,592,858,290,669,926,682,484,385,378,637,226,165,635,163,217,85,220,116,110,293,181,82,141,89,81,143,187,82,195,79,64,49,105,74,49,48,70,47,43,32,33
405641000,405600000,400000000,San Antonio,Mun,8259,9081,6355,6306,6677,5289,3661,6641,4403,4547,4176,3931,4146,3634,3462,3035,3385,2304,2322,2038,2243,2138,859,1175,1516,1034,910,1151,856,705,237,863,794,381,677,172,407,100,101,277,225,212,212,166,125,155,144,96,175,70,107,79,132,78,106,83,53,34,45,34,29
405642000,405600000,400000000,San Francisco,Mun,7384,7504,4289,3470,3927,3622,2587,3269,3187,2235,4651,2351,1528,2175,1891,1375,1257,1170,1075,1538,1037,1629,541,1151,1682,1187,771,714,582,1069,427,267,1034,357,356,105,436,405,262,378,359,152,189,156,183,202,347,116,354,165,127,193,185,168,93,115,93,80,75,55,35
405644000,405600000,400000000,San Narciso,Mun,8809,8977,5389,4163,5305,3707,2822,3969,3903,2814,4591,2419,1595,2196,2653,1613,2029,1574,1524,1824,1204,1860,482,1346,1047,728,1414,746,726,1014,341,310,1291,371,423,139,507,212,186,435,290,146,267,123,205,224,353,150,366,118,88,114,204,166,80,98,125,75,75,54,44
