adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,angara_edgardo,aquino_noynoy,arroyo_joker,bautista_martin,cantal_felix,cayetano_alanpeter,cayetano_joselito,chavez_melchor,coseteng_nikki,defensor_mike,enciso_ruben,escudero_chiz,estrella_antonio,gomez_richard,honasan_gringo,kiram_jamalul,lacson_ping,legarda_loren,lozano_oliver,magsaysay_vic,montano_cesar,oreta_tessie,orpilla_ed,osmena_john,pangilinan_kiko,paredes_zosimo,pichay_prospero,pimentel_koko,recto_ralph,roco_sonia,singson_chavit,sison_adrian,sotto_tito,trillanes_antonio_iv,villar_manny,wood_victor,zubiri_migz
500518000,500500000,500000000,Tiwi,Mun,5871,5016,10075,255,101,5485,235,577,1505,2733,126,9141,198,925,6911,422,4806,9162,134,1808,3071,1408,84,2241,6294,160,3181,3306,4282,7315,824,80,1531,4707,5396,245,3307
600601000,600600000,600000000,Anini-Y,Mun,3886,3287,2955,90,21,1682,111,339,1104,3278,19,3828,51,484,1212,507,2113,4647,29,1997,2222,2093,30,1340,3355,80,2977,2323,2955,1374,976,38,1737,1408,4021,44,3338
600602000,600600000,600000000,Barbaza,Mun,2694,3166,1863,101,30,1998,135,262,1369,2079,10,3838,76,551,2633,297,3179,5143,50,1077,2230,969,17,1485,2897,54,1885,1953,2195,1495,663,59,1346,2487,3534,71,1795
600603000,600600000,600000000,Belison,Mun,1857,2120,1582,54,18,1617,83,111,684,1663,18,3609,41,275,1176,150,1731,4197,34,2419,1095,550,14,1008,2311,41,1540,1437,3017,1000,0,22,747,1380,3393,38,2914
600604000,600600000,600000000,Bugasong,Mun,4080,4596,3217,339,54,3549,258,421,2798,3019,50,6028,138,932,3038,333,4385,7954,116,1922,3001,1325,35,2398,4775,173,3167,3338,4034,2149,705,115,1610,3541,5165,154,2892
600605000,600600000,600000000,Caluya,Mun,2313,2523,2028,57,11,1244,61,224,1583,1875,12,2918,53,372,1454,225,1984,5538,32,994,1529,743,9,774,2173,21,1333,1612,2142,1058,1475,12,1060,2541,3164,41,2573
600606000,600600000,600000000,Culasi,Mun,4963,6599,3367,192,60,4323,266,540,2285,3659,39,7330,172,1109,6230,389,6152,9641,126,2369,3546,1746,34,3367,5138,151,3910,4568,3375,2964,1019,78,2240,5101,6619,157,3377
600608000,600600000,600000000,Hamtic,Mun,6043,6515,5358,219,32,4466,194,588,2279,5365,29,7916,110,983,4143,1091,4826,9224,89,2719,3158,2608,44,3015,5850,165,5793,4523,5038,3342,2015,108,2279,4172,8664,211,7061
600609000,600600000,600000000,Laua-An,Mun,3577,3594,2455,192,52,1997,143,376,1425,2584,24,4101,63,535,3227,525,2948,3838,52,1063,2086,1098,14,1778,3331,144,2529,2126,2725,1553,1148,112,963,2547,4405,89,2488
600610000,600600000,600000000,Libertad,Mun,1868,2569,1367,102,22,1766,100,241,1015,1542,27,2446,66,405,2161,269,2210,3730,38,823,1239,774,13,1067,1960,120,1408,1423,1481,1342,868,34,702,1684,2274,59,1145
