adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,alcantara_samson,angara_sonny,aquino_bam,belgica_greco,binay_nancy,casino_teddy,cayetano_alanpeter,cojuangco_tingting,david_lito,delosreyes_jc,ejercito_jv,enrile_juanponce_jr,escudero_chiz,falcone_bal,gordon_dick,hagedorn_ed,honasan_gringo,hontiveros_risa,legarda_loren,llasos_marwil,maceda_manong_ernie,madrigal_jamby,magsaysay_mitos,magsaysay_ramon_jr,montano_mon,penson_ricardo,pimentel_koko,poe_grace,seneres_christian,trillanes_antonio_iv,villanueva_eddie,villar_cynthia,zubiri_migz
1705911000,1705900000,1700000000,San Agustin,Mun,41,820,727,30,678,77,805,243,33,33,412,292,900,19,356,409,483,483,943,18,90,448,249,579,27,25,634,930,27,581,190,812,317
1705912000,1705900000,1700000000,San Andres,Mun,134,2111,1775,94,3164,190,2119,642,111,141,1947,1235,2307,65,1325,1265,2344,932,2984,38,339,823,582,1023,130,100,1485,2739,62,1670,1310,2889,1026
1705913000,1705900000,1700000000,San Fernando,Mun,313,3326,4248,143,3639,412,3601,399,198,195,1999,1858,3576,160,1943,1889,1922,2298,4213,115,461,1580,955,2516,237,217,2703,3989,77,2361,801,3124,1444
1705914000,1705900000,1700000000,San Jose,Mun,101,555,636,24,632,79,652,126,28,36,503,347,677,21,378,841,394,390,848,15,104,250,152,357,32,32,492,860,32,391,226,842,335
1705915000,1705900000,1700000000,Santa Fe,Mun,58,384,373,34,422,51,382,210,32,21,305,188,422,25,146,258,231,192,539,9,43,227,121,264,28,18,271,534,15,285,171,411,183
1705917000,1705900000,1700000000,Santa Maria,Mun,47,1101,930,37,1620,86,1055,293,76,56,919,581,1139,33,639,539,852,507,1393,17,160,527,295,622,82,57,683,1253,23,758,512,1076,526
806001000,806000000,800000000,Almagro,Mun,52,880,974,45,498,45,953,63,14,12,345,520,909,16,201,197,276,682,1042,10,66,467,125,726,18,15,771,1123,13,783,219,876,236
806002000,806000000,800000000,Basey,Mun,413,3135,3475,236,3747,1028,3702,510,229,272,2726,2196,4112,256,1634,1224,2342,2550,4104,155,537,1361,1133,2477,276,225,2968,4621,108,2802,1046,3198,1706
806004000,806000000,800000000,Calbiga,Mun,163,1617,1754,119,2064,696,2030,366,190,117,1299,1226,2287,119,858,609,1166,1061,2311,63,312,824,528,1225,134,104,1742,2444,77,1416,595,1426,960
806003000,806000000,800000000,City of Calbayog,City,1051,12226,15780,859,11587,4979,15520,2578,694,908,8774,7378,18413,562,5893,4220,9460,10218,17586,405,1801,8072,3432,10900,816,807,12487,19095,386,13581,3461,12552,6962
