adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level
702252000,702200000,700000000,Tuburan,Mun
702253000,702200000,700000000,Tudela,Mun
1108201000,1108200000,1100000000,Compostela,Mun
1108202000,1108200000,1100000000,Laak,Mun
1108203000,1108200000,1100000000,Mabini,Mun
1108204000,1108200000,1100000000,Maco,Mun
1108205000,1108200000,1100000000,Maragusan,Mun
1108206000,1108200000,1100000000,Mawab,Mun
1108207000,1108200000,1100000000,Monkayo,Mun
1108208000,1108200000,1100000000,Montevista,Mun
1108209000,1108200000,1100000000,Nabunturan,Mun
1108210000,1108200000,1100000000,New Bataan,Mun
1108211000,1108200000,1100000000,Pantukan,Mun
1102301000,1102300000,1100000000,Asuncion,Mun
1102323000,1102300000,1100000000,Braulio E. Dujali,Mun
1102303000,1102300000,1100000000,Carmen,Mun
1102315000,1102300000,1100000000,City of Panabo,City
1102319000,1102300000,1100000000,City of Tagum,City
1102317000,1102300000,1100000000,Island Garden City of Samal,City
1102305000,1102300000,1100000000,Kapalong,Mun
1102314000,1102300000,1100000000,New Corella,Mun
1102324000,1102300000,1100000000,San Isidro,Mun
1102318000,1102300000,1100000000,Santo Tomas,Mun
1102322000,1102300000,1100000000,Talaingod,Mun
1102401000,1102400000,1100000000,Bansalan,Mun
1130700000,1130700000,1100000000,City of Davao,City
1102403000,1102400000,1100000000,City of Digos,City
1102404000,1102400000,1100000000,Hagonoy,Mun
1102406000,1102400000,1100000000,Kiblawan,Mun
1102407000,1102400000,1100000000,Magsaysay,Mun
1102408000,1102400000,1100000000,Malalag,Mun
1102410000,1102400000,1100000000,Matanao,Mun
1102411000,1102400000,1100000000,Padada,Mun
1102412000,1102400000,1100000000,Santa Cruz,Mun
1102414000,1102400000,1100000000,Sulop,Mun
1108601000,1108600000,1100000000,Don Marcelino,Mun
1108602000,1108600000,1100000000,Jose Abad Santos,Mun
1108603000,1108600000,1100000000,Malita,Mun
1108604000,1108600000,1100000000,Santa Maria,Mun
1108605000,1108600000,1100000000,Sarangani,Mun
1102501000,1102500000,1100000000,Baganga,Mun
1102502000,1102500000,1100000000,Banaybanay,Mun
1102503000,1102500000,1100000000,Boston,Mun
1102505000,1102500000,1100000000,Cateel,Mun
1102508000,1102500000,1100000000,Manay,Mun
1102510000,1102500000,1100000000,San Isidro,Mun
1102511000,1102500000,1100000000,Tarragona,Mun
1608501000,1608500000,1600000000,Basilisa,Mun
1608502000,1608500000,1600000000,Cagdianao,Mun
1608503000,1608500000,1600000000,Dinagat,Mun
1608504000,1608500000,1600000000,Libjo,Mun
1608505000,1608500000,1600000000,Loreto,Mun
1608506000,1608500000,1600000000,San Jose,Mun
1608507000,1608500000,1600000000,Tubajon,Mun
802601000,802600000,800000000,Arteche,Mun
802602000,802600000,800000000,Balangiga,Mun
802603000,802600000,800000000,Balangkayan,Mun
802605000,802600000,800000000,Can-Avid,Mun
802606000,802600000,800000000,Dolores,Mun
802607000,802600000,800000000,General Macarthur,Mun
802608000,802600000,800000000,Giporlos,Mun
802609000,802600000,800000000,Guiuan,Mun
802610000,802600000,800000000,Hernani,Mun
802611000,802600000,800000000,Jipapad,Mun
802612000,802600000,800000000,Lawaan,Mun
802613000,802600000,800000000,Llorente,Mun
802615000,802600000,800000000,Maydolong,Mun
802616000,802600000,800000000,Mercedes,Mun
802617000,802600000,800000000,Oras,Mun
802618000,802600000,800000000,Quinapondan,Mun
802619000,802600000,800000000,Salcedo,Mun
802620000,802600000,800000000,San Julian,Mun
802621000,802600000,800000000,San Policarpo,Mun
802622000,802600000,800000000,Sulat,Mun
802623000,802600000,800000000,Taft,Mun
607901000,607900000,600000000,Buenavista,Mun
607902000,607900000,600000000,Jordan,Mun
607903000,607900000,600000000,Nueva Valencia,Mun
607905000,607900000,600000000,Sibunag,Mun
1402708000,1402700000,1400000000,Aguinaldo,Mun
1402707000,1402700000,1400000000,Alfonso Lista,Mun
1402711000,1402700000,1400000000,Asipulo,Mun
1402701000,1402700000,1400000000,Banaue,Mun
1402709000,1402700000,1400000000,Hingyon,Mun
1402702000,1402700000,1400000000,Hungduan,Mun
1402703000,1402700000,1400000000,Kiangan,Mun
1402704000,1402700000,1400000000,Lagawe,Mun
1402705000,1402700000,1400000000,Lamut,Mun
1402706000,1402700000,1400000000,Mayoyao,Mun
1402710000,1402700000,1400000000,Tinoc,Mun
102801000,102800000,100000000,Adams,Mun
102802000,102800000,100000000,Bacarra,Mun
102803000,102800000,100000000,Badoc,Mun
102804000,102800000,100000000,Bangui,Mun
102811000,102800000,100000000,Banna,Mun
102806000,102800000,100000000,Burgos,Mun
102807000,102800000,100000000,Carasi,Mun
102812000,102800000,100000000,City of Laoag,City
102808000,102800000,100000000,Currimao,Mun
102809000,102800000,100000000,Dingras,Mun
102810000,102800000,100000000,Dumalneg,Mun
102813000,102800000,100000000,Marcos,Mun
102814000,102800000,100000000,Nueva Era,Mun
102815000,102800000,100000000,Pagudpud,Mun
102816000,102800000,100000000,Paoay,Mun
102817000,102800000,100000000,Pasuquin,Mun
102818000,102800000,100000000,Piddig,Mun
102819000,102800000,100000000,Pinili,Mun
102820000,102800000,100000000,San Nicolas,Mun
102821000,102800000,100000000,Sarrat,Mun
102822000,102800000,100000000,Solsona,Mun
102823000,102800000,100000000,Vintar,Mun
102901000,102900000,100000000,Alilem,Mun
102902000,102900000,100000000,Banayoyo,Mun
102903000,102900000,100000000,Bantay,Mun
102904000,102900000,100000000,Burgos,Mun
102905000,102900000,100000000,Cabugao,Mun
102907000,102900000,100000000,Caoayan,Mun
102908000,102900000,100000000,Cervantes,Mun
102906000,102900000,100000000,City of Candon,City
102934000,102900000,100000000,City of Vigan,City
102909000,102900000,100000000,Galimuyod,Mun
102910000,102900000,100000000,Gregorio del Pilar,Mun
102911000,102900000,100000000,Lidlidda,Mun
102912000,102900000,100000000,Magsingal,Mun
102913000,102900000,100000000,Nagbukel,Mun
102914000,102900000,100000000,Narvacan,Mun
102915000,102900000,100000000,Quirino,Mun
102916000,102900000,100000000,Salcedo,Mun
102917000,102900000,100000000,San Emilio,Mun
102918000,102900000,100000000,San Esteban,Mun
102919000,102900000,100000000,San Ildefonso,Mun
102920000,102900000,100000000,San Juan,Mun
102921000,102900000,100000000,San Vicente,Mun
102922000,102900000,100000000,Santa,Mun
102923000,102900000,100000000,Santa Catalina,Mun
